#cachesize,recordcount,fieldcount,fieldlength,operationcount,threads,binding,workload,integrity,distribution,readonly,preload,memory,oop,filesystem,heapsize,hinitoccper,n_run,operation,value
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,load,51142983679
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,used_mem_mb_min,46
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,used_mem_mb_max,5895
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,main_gc_count,42
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,main_gc_time_ms,10406
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,transaction,61876994047
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,load_gc_time_ms,3516
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,read_ops,4997164
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,read_lat,2050.0158960162203
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,init,1713774591
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,load_gc_count,83
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,cleanup,5370047
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,insert_ops,1000000
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,insert_lat,41331.605958
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,update_ops,5002836
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,update_lat,7104.597376767897
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,runtime,112518
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,throughput,97762.135836044
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,total_gc_time_%,11.665689045308305
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,load,49271537663
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,used_mem_mb_min,50
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,used_mem_mb_max,5981
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,main_gc_count,41
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,main_gc_time_ms,9640
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,transaction,61467525119
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,load_gc_time_ms,3468
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,read_ops,4999604
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,read_lat,2277.482941648979
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,init,1711865855
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,load_gc_count,78
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,cleanup,5835583
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,insert_ops,1000000
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,insert_lat,39884.536015
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,update_ops,5000396
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r4,update_lat,7216.922352949647
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,runtime,114218
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,throughput,96307.06193419601
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r5,total_gc_time_%,11.568229175786653
