#cachesize,recordcount,fieldcount,operationcount,threads,binding,workload,integrity,distribution,operation,value
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,total_gc_time_%,7.456122816135609
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,init,1.670705152E9
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,load,23286775807
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,cleanup,8176816.0
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,insert,6730.998859
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,runtime,25386
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,throughput,39391.79075080753
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,total_gc_time_%,7.047191365319468
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,init,1.661218816E9
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,load,23666491391
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,cleanup,7889872.0
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,insert,6846.031621
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,runtime,25553
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,throughput,39134.34821743044
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,total_gc_time_%,7.3572574648769224
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,init,1.66590464E9
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,load,23817224191
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,cleanup,9847968.0
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,insert,6906.335073
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,runtime,39055
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,throughput,25604.916143899627
1,1000000,10,10000000,1,infinispan-jpfa,workloada_load,true,default,total_gc_time_%,6.979900140827039
