#cachesize,recordcount,fieldcount,threads,value
1,3000000,10,1,13527.697812103304
1200000,3000000,10,1,18181.905532112516
1500000,3000000,10,1,23100.26450650181
1800000,3000000,10,1,14892.622134086167
2100000,3000000,10,1,19485.745967000184
2400000,3000000,10,1,14942.357015154606
2700000,3000000,10,1,16171.938475318153
3000000,3000000,10,1,18207.839435223977
300000,3000000,10,1,13890.087747671116
600000,3000000,10,1,14451.250528864713
900000,3000000,10,1,13900.085562110378
