#cachesize,recordcount,fieldcount,threads,value
1,3000000,10,1,67638
1200000,3000000,10,1,72710
1500000,3000000,10,1,74907
1800000,3000000,10,1,73251
2100000,3000000,10,1,70832
2400000,3000000,10,1,73394
2700000,3000000,10,1,71153
3000000,3000000,10,1,69596
300000,3000000,10,1,66617
600000,3000000,10,1,79160
900000,3000000,10,1,73482
