#cachesize,recordcount,fieldcount,threads,value
1,3000000,10,1,6291456.0
1200000,3000000,10,1,8.05306368E8
1500000,3000000,10,1,8.05306368E8
1800000,3000000,10,1,8.05306368E8
2100000,3000000,10,1,8.05306368E8
2400000,3000000,10,1,8.05306368E8
2700000,3000000,10,1,4.02653184E8
3000000,3000000,10,1,8.05306368E8
300000,3000000,10,1,2.01326592E8
600000,3000000,10,1,4.02653184E8
900000,3000000,10,1,4.02653184E8
