#cachesize,recordcount,fieldcount,threads,value
1000000,10000000,10,1,26029.12908527742
100000,1000000,10,1,20060.91170910724
10000,100000,10,1,16224.559855058886
1000,10000,10,1,17337.970411767925
200000,2000000,10,1,19512.772945002034
500000,5000000,10,1,23884.959058921588
