#cachesize,recordcount,fieldcount,fieldlength,operationcount,threads,binding,workload,integrity,distribution,readonly,preload,memory,oop,filesystem,heapsize,hinitoccper,n_run,operation,value
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r2,update_lat,19.295640937985006
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,runtime,16900
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,throughput,236686.39053254438
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,total_gc_time_%,0.8579881656804733
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,load,13394837503
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,used_mem_mb_min,50
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,used_mem_mb_max,1368
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,main_gc_count,4
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,main_gc_time_ms,21
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,transaction,3429646335
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,load_gc_time_ms,124
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,read_ops,1499615
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,read_lat,19.46126839222067
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,init,5381
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,load_gc_count,20
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,cleanup,2458
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,insert_ops,1000000
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,insert_lat,20.365356
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,update_ops,1500385
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r3,update_lat,19.455132515987565
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,runtime,16970
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,throughput,235710.0766057749
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,total_gc_time_%,0.7955215085444902
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,load,13410041855
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,used_mem_mb_min,48
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,used_mem_mb_max,1364
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,main_gc_count,4
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,main_gc_time_ms,18
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,transaction,3474685951
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,load_gc_time_ms,117
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,read_ops,1500533
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,read_lat,19.464914800274304
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,init,5150
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,load_gc_count,20
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,cleanup,2053
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,insert_ops,1000000
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,insert_lat,20.545895
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,update_ops,1499467
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r4,update_lat,19.390388718124505
